Gene	Non-unique Gene name	Annotation
betI_2		HTH-type transcriptional regulator BetI
group_5298		hypothetical protein
group_5299	ssbA_2	Single-stranded DNA-binding protein A
group_53	fnbA_1	Fibronectin-binding protein A
group_5301		hypothetical protein
group_5303	repD	Replication initiation protein
group_5304		hypothetical protein
group_5305		hypothetical protein
group_5306		hypothetical protein
nhaX_1		Stress response protein NhaX
dauA		C4-dicarboxylic acid transporter DauA
group_5309		hypothetical protein
group_531		hypothetical protein
group_5310		hypothetical protein
group_5311		hypothetical protein
group_5312		putative 27.7 kDa protein
group_5313		hypothetical protein
argO_2		Arginine exporter protein ArgO
desA		Delta(12)-fatty-acid desaturase
norG_1		HTH-type transcriptional regulator NorG
group_5318		hypothetical protein
group_5319		hypothetical protein
group_5320		hypothetical protein
group_5326		hypothetical protein
group_5327		hypothetical protein
group_5328		hypothetical protein
group_5329		hypothetical protein
group_5330		hypothetical protein
group_5331		hypothetical protein
arsC_2		Glutaredoxin arsenate reductase
group_534	trpF_1	N-(5'-phosphoribosyl)anthranilate isomerase
arsB_3		Arsenical pump membrane protein
sdpR_3		Transcriptional repressor SdpR
group_5343		hypothetical protein
group_5344		hypothetical protein
trpF_1		N-(5'-phosphoribosyl)anthranilate isomerase
group_5348	hin_2	DNA-invertase hin
group_5349	tnpR	Transposon gamma-delta resolvase
trpF_2		N-(5'-phosphoribosyl)anthranilate isomerase
group_5350		hypothetical protein
glpE_3		Thiosulfate sulfurtransferase GlpE
group_5352	ricR_2	Copper-sensing transcriptional repressor RicR
group_5353		hypothetical protein
pls		Surface protein
group_5355		hypothetical protein
group_5356		hypothetical protein
group_5357		hypothetical protein
group_5358		hypothetical protein
group_5359		hypothetical protein
group_5360		hypothetical protein
group_5361		hypothetical protein
group_5362		hypothetical protein
group_5363		hypothetical protein
group_5364		hypothetical protein
group_5365		hypothetical protein
group_5366		hypothetical protein
group_5367		hypothetical protein
group_5368		hypothetical protein
group_5369		hypothetical protein
group_537		hypothetical protein
group_5370		hypothetical protein
group_5371		hypothetical protein
group_5372		hypothetical protein
group_5373		hypothetical protein
group_5374		hypothetical protein
group_5375		hypothetical protein
group_5377		hypothetical protein
group_5378		hypothetical protein
repD		Replication initiation protein
group_538		hypothetical protein
group_5380		hypothetical protein
group_5381		hypothetical protein
group_54	fnbA_1	Fibronectin-binding protein A
group_5433		hypothetical protein
group_5434		hypothetical protein
group_5435		hypothetical protein
group_5436		hypothetical protein
group_5437		hypothetical protein
group_5438	potD	Spermidine/putrescine-binding periplasmic protein
group_5439		hypothetical protein
pta_1		Phosphate acetyltransferase
pta_2		Phosphate acetyltransferase
group_5443		Putative heme-dependent peroxidase
group_5444		Putative heme-dependent peroxidase
group_5445		hypothetical protein
group_5446		hypothetical protein
group_545		hypothetical protein
group_5460		hypothetical protein
group_5461	nikE_1	Nickel import ATP-binding protein NikE
group_5462	oppD_1	Oligopeptide transport ATP-binding protein OppD
group_5463	nikB_1	Nickel transport system permease protein NikB
group_5464	nikA_1	Nickel-binding periplasmic protein
group_5465	brnQ_3	Branched-chain amino acid transport system 2 carrier protein
group_5466		hypothetical protein
group_5467		hypothetical protein
group_5468		hypothetical protein
group_5469		hypothetical protein
group_5470		hypothetical protein
group_5471	tnpR	Transposon gamma-delta resolvase
group_5472	hin_1	DNA-invertase hin
group_5473		hypothetical protein
group_5474		hypothetical protein
group_5475		hypothetical protein
group_5476		hypothetical protein
group_5477		hypothetical protein
proP_2		Proline/betaine transporter
proP_3		Proline/betaine transporter
group_5494		hypothetical protein
group_5495		hypothetical protein
group_5496		hypothetical protein
group_5497		hypothetical protein
group_5498		hypothetical protein
group_5499		hypothetical protein
group_5500		hypothetical protein
kcsA		pH-gated potassium channel KcsA
group_5502		hypothetical protein
group_5504		tRNA-Ser(tga)
group_5505		hypothetical protein
group_5507		hypothetical protein
bcgIA		Restriction enzyme BgcI subunit alpha
bcgIB		Restriction enzyme BgcI subunit beta
group_5510		hypothetical protein
group_5511		hypothetical protein
group_5512		hypothetical protein
group_5513		hypothetical protein
group_5514		hypothetical protein
group_5515		hypothetical protein
ftsH_2		ATP-dependent zinc metalloprotease FtsH
group_5517		hypothetical protein
group_5518		NADP-dependent 7-alpha-hydroxysteroid dehydrogenase
group_5519		NADP-dependent 7-alpha-hydroxysteroid dehydrogenase
group_5520		hypothetical protein
group_5521		hypothetical protein
group_5522		Omega-amino acid--pyruvate aminotransferase
group_5523		Omega-amino acid--pyruvate aminotransferase
group_5524		hypothetical protein
group_5525		hypothetical protein
group_5526		hypothetical protein
group_5527		hypothetical protein
group_5528		hypothetical protein
group_5529		hypothetical protein
group_553	splD	Serine protease SplD
group_5530		hypothetical protein
group_5531		hypothetical protein
group_5532		hypothetical protein
group_5533		hypothetical protein
puuR_2		HTH-type transcriptional regulator PuuR
puuR_3		HTH-type transcriptional regulator PuuR
group_5536		hypothetical protein
group_5537		hypothetical protein
group_5538		hypothetical protein
group_5539		hypothetical protein
group_554	splD	Serine protease SplD
entD_3		Enterotoxin type D
entH_2		Enterotoxin type H
group_5542		hypothetical protein
group_5543		hypothetical protein
bca		C protein alpha-antigen
group_5545		hypothetical protein
group_5546		hypothetical protein
group_5547		hypothetical protein
natA_3		ABC transporter ATP-binding protein NatA
group_5549		hypothetical protein
group_555	splD	Serine protease SplD
group_5550		hypothetical protein
group_5551		hypothetical protein
group_5552	tarF_1	Teichoic acid poly(glycerol phosphate) polymerase
group_5555		hypothetical protein
group_5556		hypothetical protein
group_5558		hypothetical protein
group_5559		hypothetical protein
group_5560		hypothetical protein
group_5561		hypothetical protein
group_5562		hypothetical protein
group_5563		hypothetical protein
group_5564		hypothetical protein
group_5565		hypothetical protein
group_5566		hypothetical protein
group_5567		hypothetical protein
group_5568		hypothetical protein
group_5569		hypothetical protein
group_557	splF	Serine protease SplF
group_5570		hypothetical protein
group_5571		hypothetical protein
group_5572		hypothetical protein
group_5573		hypothetical protein
group_5574		hypothetical protein
group_5575	entE	Enterotoxin type E
entC1_1		Enterotoxin type C-1
group_5577		hypothetical protein
group_5578		hypothetical protein
group_5579		hypothetical protein
group_5580		hypothetical protein
group_5581		hypothetical protein
group_5582		hypothetical protein
leuA_3		2-isopropylmalate synthase
xerC_6		Tyrosine recombinase XerC
group_5592		hypothetical protein
group_5593		hypothetical protein
group_5594		hypothetical protein
dut_2		Deoxyuridine 5'-triphosphate nucleotidohydrolase
group_5597		hypothetical protein
yehR_2		putative lipoprotein YehR
yehR_3		putative lipoprotein YehR
group_560		hypothetical protein
group_5600		hypothetical protein
group_5601		hypothetical protein
group_5602		hypothetical protein
group_5603		hypothetical protein
group_5604		hypothetical protein
group_5605		hypothetical protein
isaB_2		Immunodominant staphylococcal antigen B
isaB_3		Immunodominant staphylococcal antigen B
group_5608		hypothetical protein
group_5609		hypothetical protein
group_5610		hypothetical protein
group_5611		hypothetical protein
group_5614		hypothetical protein
fabD_2		Malonyl CoA-acyl carrier protein transacylase
plsX_2		Phosphate acyltransferase
recG_2		ATP-dependent DNA helicase RecG
fnbA_6		Fibronectin-binding protein A
fnbA_9		Fibronectin-binding protein A
group_5621		hypothetical protein
group_5625		hypothetical protein
group_5626	hin_1	DNA-invertase hin
group_5627		hypothetical protein
group_5629		hypothetical protein
group_5630		hypothetical protein
group_5631		hypothetical protein
group_5632		hypothetical protein
group_5633		hypothetical protein
group_5634		hypothetical protein
group_5635	lexA_2	LexA repressor
group_5636		hypothetical protein
group_5637	pbpX_2	Putative penicillin-binding protein PbpX
group_5638	pnbA	Para-nitrobenzyl esterase
group_5639	yehR	putative lipoprotein YehR
group_564	bin3_2	Putative transposon Tn552 DNA-invertase bin3
group_5640	ahpD	Alkyl hydroperoxide reductase AhpD
group_5641		hypothetical protein
group_5642		hypothetical protein
group_5643	merR1	Mercuric resistance operon regulatory protein
group_5644		hypothetical protein
group_5645		hypothetical protein
group_5646		hypothetical protein
dinG_2		putative ATP-dependent helicase DinG 
group_5648		hypothetical protein
group_5649		Staphylocoagulase
group_5650		hypothetical protein
group_5651		hypothetical protein
group_5652		hypothetical protein
group_5653		hypothetical protein
group_5654		hypothetical protein
group_5655	pre	Plasmid recombination enzyme
bm3R1		HTH-type transcriptional repressor Bm3R1
group_5657	ybhR	Inner membrane transport permease YbhR
ybhF		putative ABC transporter ATP-binding protein YbhF
group_5659		hypothetical protein
group_5660		hypothetical protein
group_5661	rbfA	Ribosome-binding factor A
group_5662		hypothetical protein
group_5663		hypothetical protein
group_5664		hypothetical protein
group_5665		hypothetical protein
group_5666		hypothetical protein
group_5667		hypothetical protein
group_5668		hypothetical protein
group_5669		hypothetical protein
group_5670		hypothetical protein
group_5671		hypothetical protein
group_5686		hypothetical protein
ywqE_3		Tyrosine-protein phosphatase YwqE
cap8A_3		Capsular polysaccharide type 8 biosynthesis protein cap8A
group_569		hypothetical protein
group_571		hypothetical protein
group_5711		hypothetical protein
group_5712		hypothetical protein
group_5713		hypothetical protein
group_5714		hypothetical protein
group_5715		hypothetical protein
group_5716		hypothetical protein
group_5717		hypothetical protein
group_5718		hypothetical protein
group_5719		hypothetical protein
group_5720		hypothetical protein
group_5721	treP_2	PTS system trehalose-specific EIIBC component
group_5722		hypothetical protein
group_5723		hypothetical protein
group_5724		hypothetical protein
mntH_4		Divalent metal cation transporter MntH
ydcV_3		Inner membrane ABC transporter permease protein YdcV
group_5727		hypothetical protein
potA_3		Spermidine/putrescine import ATP-binding protein PotA
potA_4		Spermidine/putrescine import ATP-binding protein PotA
group_5730		hypothetical protein
pdhD_2		Dihydrolipoyl dehydrogenase
pdhD_3		Dihydrolipoyl dehydrogenase
pdhD_4		Dihydrolipoyl dehydrogenase
pdhC_3		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
pdhA_2		Pyruvate dehydrogenase E1 component subunit alpha
group_5739		hypothetical protein
group_574		hypothetical protein
group_5740	entA_1	Enterotoxin type A
group_5741		hypothetical protein
group_5742		hypothetical protein
group_575		hypothetical protein
group_5756		hypothetical protein
group_5757		hypothetical protein
group_5758	Int-Tn	Transposase from transposon Tn916
group_5759		hypothetical protein
group_576		hypothetical protein
group_5760		hypothetical protein
group_5761		hypothetical protein
group_5762		hypothetical protein
group_5763		hypothetical protein
iap		putative endopeptidase p60
group_5765		hypothetical protein
group_5766		hypothetical protein
group_5767		hypothetical protein
group_5768		hypothetical protein
group_5769	ftsK_2	DNA translocase FtsK
group_5770		hypothetical protein
group_5771		hypothetical protein
group_5772		hypothetical protein
group_5773		hypothetical protein
group_5774		hypothetical protein
group_5775		hypothetical protein
group_5776		hypothetical protein
group_5777		hypothetical protein
group_5779		hypothetical protein
group_578		hypothetical protein
group_5781		hypothetical protein
group_5783		hypothetical protein
group_5784		hypothetical protein
group_5788		hypothetical protein
group_5799		hypothetical protein
group_5800		hypothetical protein
group_5801	entA_2	Enterotoxin type A
group_5802	entE	Enterotoxin type E
group_5803		hypothetical protein
group_5804		hypothetical protein
group_5805		hypothetical protein
group_5806		hypothetical protein
soj		Chromosome-partitioning ATPase Soj
group_581		hypothetical protein
group_5811		hypothetical protein
group_5812		hypothetical protein
pepF1_3		Oligoendopeptidase F, plasmid
group_5814		hypothetical protein
group_5815		hypothetical protein
group_5816		hypothetical protein
group_5817		hypothetical protein
group_5818		hypothetical protein
group_5819		hypothetical protein
group_5820		hypothetical protein
group_5821		Purine nucleoside phosphoramidase
group_5822		hypothetical protein
group_5825		tRNA-Pro(tgg)
group_5826		hypothetical protein
group_5827		hypothetical protein
group_5828	lpl2_6	putative lipoprotein
group_5829	lpl2_7	putative lipoprotein
group_5830		hypothetical protein
splA_2		Serine protease SplA
group_5835		5S ribosomal RNA (partial)
qoxB_2		putative quinol oxidase subunit 1
group_584	smc_3	Chromosome partition protein Smc
group_5842		hypothetical protein
group_5844		hypothetical protein
group_5845		hypothetical protein
group_5846		hypothetical protein
group_5847		hypothetical protein
group_5848		hypothetical protein
group_5849		hypothetical protein
group_5850		Serine protease HtrA-like protein
group_5851		hypothetical protein
group_5852		hypothetical protein
group_5853		hypothetical protein
group_5854		hypothetical protein
group_5855		hypothetical protein
group_5856		hypothetical protein
group_5857		hypothetical protein
group_5858		hypothetical protein
group_5859		hypothetical protein
group_5860		hypothetical protein
group_5861		hypothetical protein
group_5862		hypothetical protein
group_5863		hypothetical protein
group_5864		hypothetical protein
